ID,Database,Location, Bridge Type, Bridge Type Description,Center Latitude,Center Longitude,Center Elevation (m),Inundation Flag (Center),Culvert,
1,NBI,'3.2 KM N.E. OF MOCLIPS',2,Stringer/Multi-beam or Girder,47.25278802,-124.1779995,18.4,1,0,
2,NBI,'3 KM NE OF MOCLIPS',2,Stringer/Multi-beam or Girder,47.24966733,-124.1739913,18.8,1,0,
3,NBI,'15 KM N.E. OF MOCLIPS',4,Tee Beam,47.2947274,-124.0662513,82.7,0,0,
4,NBI,'23 KM NE OF MOCLIPS',4,Tee Beam,47.33808868,-124.0327233,50.2,0,0,
5,NBI,'26 KM NE OF MOCLIPS',2,Stringer/Multi-beam or Girder,47.34758478,-124.0076479,52.7,0,0,
6,NBI,'4 KM N.E. OF MOCLIPS',2,Stringer/Multi-beam or Girder,47.25271696,-124.174375,18.4,1,0,
7,NBI,'25.7 KM NE COPALIS X-ING',4,Tee Beam,47.35775097,-123.9907348,50.4,0,0,
8,NBI,'4 KM S OF AMANDA PARK JCT',5,Box Beam or Girders - Multiple,47.42813284,-123.9142697,58.3,0,0,
9,NBI,'16 KM NORTH OF MOCLIPS',2,Stringer/Multi-beam or Girder,47.35097897,-124.1547319,38.7,0,0,
10,NBI,'15 KM N.E. OF MOCLIPS',19,Culvert (inlcudes frame culverts),47.30196523,-124.0613196,90.2,0,1,
11,NBI,'0.1 E JCT US 101',17,Moveable - Swing,46.97603626,-123.8116117,1,1,0,
12,NBI,'1.7 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.44984328,-123.8725131,9.4,1,0,
13,NBI,'3.6 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.47534244,-123.8851066,6.2,1,0,
14,NBI,'19.1 N JCT SR 115',1,Slab,47.28463392,-124.2339548,3.6,1,0,
15,NBI,'Milepost 19.9 on US-101',2,Stringer/Multi-beam or Girder,46.36574847,-123.9512401,2.3,1,0,
16,NBI,'21.8 E JCT US 101',4,Tee Beam,46.54999193,-123.4129959,225.7,0,0,
17,NBI,'1.3KM WEST OF JCT 8049',2,Stringer/Multi-beam or Girder,46.8155171,-123.1771444,25.4,1,0,
18,NBI,'2.7KM W LUCKY EAGLE CASIN',6,Box Beam or Girders - Single or Spread,46.81590213,-123.1895947,25.4,1,0,
19,NBI,'3.3KM W LUCKY EAGL CASINO',19,Culvert (inlcudes frame culverts),46.81933042,-123.1952049,25.6,1,1,
20,NBI,'AT FISH HATCHERY',2,Stringer/Multi-beam or Girder,46.81933094,-123.2002293,26.1,1,0,
21,NBI,'4KM W LUCKY EAGLE CASINO',2,Stringer/Multi-beam or Girder,46.82159819,-123.2083266,24.4,1,0,
22,NBI,'.9 KM N  CUITAN STREET',6,Box Beam or Girders - Single or Spread,47.34791607,-124.2847484,1.2,1,0,
23,NBI,'11KM NE OF MO CLIPS',3,Girder and Floorbeam System,47.32097679,-124.1567372,72.3,0,0,
24,NBI,'3 KM S OF AMANDA PK JUNCT',2,Stringer/Multi-beam or Girder,47.43639123,-123.8963798,75.4,0,0,
25,NBI,'6.6 N JCT SR 401',19,Culvert (inlcudes frame culverts),46.30394535,-123.9669536,2.4,1,1,
26,NBI,'3.3 N JCT US 12',16,Movable - Bascule,46.97537428,-123.8771381,0.7,1,0,
27,NBI,'23.2 E JCT US 101',4,Tee Beam,46.54661064,-123.3861683,209.5,0,0,
28,NBI,'4.3 N JCT SR 105',4,Tee Beam,46.75011888,-123.7504803,41.2,0,0,
29,NBI,'5.7 N JCT SR 105',4,Tee Beam,46.76882896,-123.7486211,45.2,0,0,
30,NBI,'10.5 E JCT SR 8',4,Tee Beam,46.87961209,-123.2716575,21,1,0,
31,NBI,'13.0 E JCT SR 8',4,Tee Beam,46.84800144,-123.2486588,23.7,1,0,
32,NBI,'16.3 E JCT SR 8',10,Truss - Thru,46.83016717,-123.1858193,24.7,1,0,
33,NBI,'1.1 E JCT US 101',4,Tee Beam,46.97831724,-123.7910915,15.7,1,0,
34,NBI,'7.0 N JCT SR 103',2,Stringer/Multi-beam or Girder,46.37235174,-123.9500719,1.4,1,0,
35,NBI,'12.2 N JCT SR 103',2,Stringer/Multi-beam or Girder,46.42841062,-123.9178256,0.9,1,0,
36,NBI,'8.3 E JCT US 101',10,Truss - Thru,46.97658332,-123.6433104,4,1,0,
37,NBI,'32.9 N JCT SR 109',2,Stringer/Multi-beam or Girder,47.37658839,-123.8991639,110.5,0,0,
38,NBI,'36.5 N JCT SR 109',2,Stringer/Multi-beam or Girder,47.42587031,-123.87646,111.1,0,0,
39,NBI,'0.1 E JCT SR 8',4,Tee Beam,47.00506899,-123.386437,19.9,1,0,
40,NBI,'4.5 E JCT SR 8',4,Tee Beam,46.95653282,-123.3271759,13.4,1,0,
41,NBI,'6.1 E JCT SR 8',4,Tee Beam,46.93766356,-123.3106143,13.4,1,0,
42,NBI,'8.6 E JCT SR 8',4,Tee Beam,46.90291027,-123.2912698,21.5,1,0,
43,NBI,'0.2 W JCT US 12',16,Movable - Bascule,46.97713318,-123.8118148,0.7,1,0,
44,NBI,'11.3 E JCT US 101',11,Arch - Deck,46.55572109,-123.6113979,38.4,0,0,
45,NBI,'12.2 E JCT US 101',11,Arch - Deck,46.55829574,-123.5967769,44.2,0,0,
46,NBI,'14.6 E JCT US 101',11,Arch - Deck,46.55978501,-123.5507186,55.4,0,0,
47,NBI,'5.5 N JCT SR 4',1,Slab,46.50097074,-123.8865406,3.2,1,0,
48,NBI,'6.7 N JCT SR 4',1,Slab,46.51838537,-123.8858102,3,1,0,
49,NBI,'13.6 N JCT SR 105 SP',1,Slab,46.94009807,-123.8773915,2.1,1,0,
50,NBI,'12.1 N JCT SR 105 SP',1,Slab,46.9335901,-123.9080634,2.4,1,0,
51,NBI,'12.6 N JCT SR 105 SP',1,Slab,46.93585035,-123.8973439,2.5,1,0,
52,NBI,'13.1 N JCT SR 105 SP',1,Slab,46.93791279,-123.8877011,3.6,1,0,
53,NBI,'15.1 N JCT SR 109',4,Tee Beam,47.16862542,-123.8845075,41.6,0,0,
54,NBI,'2.5 E JCT US 101',1,Slab,46.66278484,-123.6898682,15.4,1,0,
55,NBI,'46.3 N JCT SR 109',4,Tee Beam,47.47368673,-124.0224905,128.6,0,0,
56,NBI,'4.4 N JCT SR 107',1,Slab,46.95997143,-123.7760902,2.6,1,0,
57,NBI,'9.2 N JCT SR 109',4,Tee Beam,47.09208408,-123.9046509,29.9,1,0,
58,NBI,'21.3 N JCT SR 109',4,Tee Beam,47.22752564,-123.9645567,34.5,0,0,
59,NBI,'21.5 N JCT SR 109',10,Truss - Thru,47.22958937,-123.9621772,33.5,0,0,
60,NBI,'19.9 E JCT US 101',4,Tee Beam,46.54801162,-123.4508524,140,0,0,
61,NBI,'10.8 N JCT US 101',1,Slab,47.05656458,-124.0498106,1.8,1,0,
