%Lon   Lat   NEOWAVE_non_dispersive(15-arc-sec)   NEOWAVE_dispersive(15-arc-sec)    MOST(15-arc-sec)   MOST(30-arc-sec)
-125.119000 48.613000 1.921785 2.035018 2.359351 1.899906
-125.100000 48.607000 2.192192 1.853598 2.154566 2.052256
-125.087000 48.603000 2.201698 1.998920 2.376049 2.070000
-125.074000 48.593000 2.876814 2.594559 2.783857 2.131181
-125.067000 48.580000 2.272183 2.391283 2.689519 2.216164
-125.074000 48.567000 2.507813 2.000620 2.265153 2.160379
-125.080000 48.553000 2.158173 2.309087 2.411744 2.108921
-125.073000 48.544000 2.264232 2.232106 2.551346 2.129431
-125.060000 48.534000 2.087300 2.020415 2.199534 2.129191
-125.052000 48.527000 2.118880 1.931905 2.187253 2.131533
-125.041000 48.513000 1.998663 1.874394 2.273831 2.024966
-125.033000 48.506000 2.032198 1.881445 2.218528 2.087187
-125.021000 48.493000 2.126600 2.040019 2.268587 2.103171
-125.008000 48.487000 2.199196 2.083879 2.395492 2.022203
-125.001000 48.473000 2.184823 2.119648 2.263492 2.065327
-124.987000 48.470000 2.140374 2.091106 2.357849 2.168688
-124.814000 48.373000 1.697038 1.626788 1.577053 1.416283
-124.827000 48.362000 1.600149 1.507120 1.534598 1.422428
-124.836000 48.353000 1.414340 1.472653 1.475668 1.487985
-124.847000 48.343000 1.350263 1.336795 1.497566 1.282908
-124.855000 48.333000 1.346046 1.293515 1.481431 1.296859
-124.865000 48.320000 1.419894 1.324290 1.513244 1.312966
-124.873000 48.310000 1.413403 1.300258 1.553074 1.263888
-124.881000 48.300000 1.429969 1.368930 1.552863 1.219442
-124.890000 48.287000 1.351667 1.436029 1.442429 1.302529
-124.900000 48.274000 1.489154 1.361068 1.327345 1.290110
-124.907000 48.264000 1.456766 1.301063 1.296726 1.288839
-124.913000 48.247000 1.477093 1.426093 1.389693 1.339032
-124.917000 48.233000 1.538072 1.426259 1.467566 1.401843
-124.920000 48.217000 1.675637 1.548291 1.626416 1.543685
-124.927000 48.207000 1.744579 1.598844 1.698686 1.600267
-124.933000 48.187000 1.902533 1.730073 1.872746 1.804515
-124.934000 48.173000 2.018371 1.821674 1.980772 1.874732
-124.936000 48.153000 2.096777 1.916554 2.100653 2.094217
-124.940000 48.139000 2.131299 1.986390 2.177577 2.128034
-124.944000 48.120000 2.200406 2.096372 2.270101 2.328402
-124.953000 48.096700 2.599054 2.435688 2.872286 2.566149
-124.960400 48.077400 2.838914 2.664303 3.025083 3.004088
-124.964200 48.044900 3.544119 3.119395 3.433504 2.945909
-124.964600 48.015000 4.302467 3.465579 4.205801 3.351464
-124.964000 47.987000 5.720389 3.806312 5.072736 3.854261
-124.958000 47.973000 6.111665 3.903198 5.352715 3.980312
-124.950000 47.960000 6.267487 3.973123 5.537606 4.054807
-124.946000 47.947000 6.065594 3.932939 5.443310 4.109052
-124.940000 47.930000 5.540437 3.774245 5.080103 3.995962
-124.938000 47.913000 4.930982 3.563245 4.651714 3.846277
-124.933000 47.900000 4.538092 3.405033 4.363987 3.627379
-124.927000 47.886000 4.214055 3.245338 4.082579 3.426778
-124.916000 47.873000 4.009577 3.125092 3.857855 3.331461
-124.907000 47.862000 3.855619 3.025986 3.692118 3.199570
-124.907000 47.852000 3.769501 2.974947 3.616815 3.158336
-124.913000 47.838000 3.743921 2.948246 3.591064 3.138112
-124.913000 47.826000 3.776083 2.967473 3.596430 3.061678
-124.912000 47.814900 3.800388 2.987054 3.613227 3.017138
-124.908000 47.804900 3.908705 3.023760 3.674233 3.017933
-124.904000 47.786300 4.029505 3.045896 3.758799 3.131358
-124.898000 47.768700 4.151614 3.053942 3.808947 3.208681
-124.892000 47.753200 4.490344 3.330632 4.123939 3.314101
-124.884000 47.735300 5.510945 4.155171 5.228882 3.867820
-124.874000 47.721900 5.702092 4.437903 5.517717 4.234486
-124.866000 47.706900 6.321772 4.542573 5.699510 4.614488
-124.856000 47.695100 7.340455 4.738471 6.455435 4.533681
-124.847000 47.683300 7.328074 4.890035 6.774055 4.344557
-124.840000 47.674900 6.831711 4.827822 6.596212 4.111414
-124.838000 47.667000 6.300754 4.605571 6.131942 3.960814
-124.833000 47.653000 5.515341 4.059971 5.125674 3.630180
-124.830000 47.633000 4.220417 3.357509 4.116643 3.454460
-124.824000 47.620000 3.922553 3.166273 3.903292 3.228148
-124.813000 47.607000 3.912979 3.090812 3.881412 3.074968
-124.807000 47.597000 3.871843 3.029533 3.838647 2.918268
-124.795000 47.587000 3.588281 2.895960 3.646003 2.565979
-124.788000 47.573000 3.119860 2.625816 3.238904 2.497208
-124.780000 47.560000 2.702993 2.383334 2.782243 2.388223
-124.774000 47.547000 2.537634 2.355032 2.602024 2.348232
-124.770000 47.533000 2.377458 2.318453 2.477603 2.342556
-124.760000 47.521000 2.380514 2.272555 2.476231 2.331215
-124.753000 47.513000 2.407309 2.276354 2.505813 2.323465
-124.745000 47.500000 2.436926 2.293204 2.529774 2.351319
-124.733000 47.488000 2.455822 2.283573 2.530425 2.374424
-124.731000 47.473000 2.477788 2.305115 2.550696 2.438444
-124.734000 47.460000 2.507343 2.331263 2.559820 2.465585
-124.727000 47.447000 2.488682 2.330808 2.541843 2.438750
-124.719000 47.440000 2.476483 2.318295 2.528250 2.403409
-124.709000 47.427000 2.432799 2.296711 2.478168 2.372823
-124.701000 47.413000 2.403535 2.281501 2.447608 2.344484
-124.693000 47.404000 2.403779 2.266135 2.437167 2.327033
-124.689000 47.387000 2.413220 2.267698 2.436928 2.332183
-124.686000 47.373000 2.408106 2.255613 2.437566 2.306235
-124.678000 47.360000 2.373692 2.236488 2.713156 2.266666
-124.677000 47.340000 2.299222 2.213203 2.937948 2.243554
-124.673000 47.322000 2.284871 2.235416 2.920781 2.241421
-124.672000 47.307000 2.365502 2.283548 3.074197 2.314259
-124.672000 47.287000 2.653392 2.357045 3.396377 2.571986
-124.673000 47.272000 3.365946 2.566337 3.040161 2.668224
-124.672000 47.260000 3.947825 2.810790 3.568454 2.864259
-124.670000 47.240000 4.568436 3.143323 4.263254 3.105567
-124.676000 47.227000 5.107913 3.526628 4.810338 3.472509
-124.681000 47.213000 5.199130 3.803534 4.963221 3.666440
-124.679000 47.200000 5.195435 3.990761 5.007910 4.106326
-124.677000 47.180000 5.285248 3.989709 5.004679 4.359342
-124.680000 47.160000 5.248424 3.770437 4.852627 4.097668
-124.680000 47.153000 5.208441 3.738102 4.806982 3.864770
-124.673000 47.133000 4.535145 3.362842 4.272321 3.357967
-124.680000 47.127000 4.050016 3.084659 3.941894 3.055419
-124.682000 47.113000 3.352622 2.710260 4.900786 2.910149
-124.682000 47.093000 2.813282 2.613927 5.108212 2.889060
-124.678000 47.080000 3.121392 2.953335 4.613852 2.940734
-124.671000 47.067000 3.405320 3.302283 4.349702 3.293457
-124.666000 47.053000 3.977990 3.550369 3.848592 3.677810
-124.660000 47.036000 5.184524 3.774990 4.880677 3.921343
-124.655000 47.020000 5.522178 3.709293 4.844040 3.781431
-124.653000 47.003000 4.969235 3.499406 4.299549 3.282869
-124.647000 46.992000 4.078354 3.000738 3.384575 3.005204
-124.635000 46.980000 3.208075 2.575463 2.878051 2.721221
-124.627000 46.969000 3.053971 2.561122 2.888409 2.578561
-124.621000 46.953000 3.134171 2.909294 2.868104 3.012775
-124.613000 46.940000 3.966582 3.408384 3.639556 3.450958
-124.607000 46.932000 4.359335 3.702147 3.995137 3.888315
-124.593000 46.922000 5.443390 4.152754 4.389124 4.345968
-124.586000 46.913000 5.768307 4.387639 4.735441 4.704982
