 

GAUGE REPORT

EVENT: buried-locking-str10-deep

LOCATION: Newport

 
               SUMMARY FOR EACH OF THESE GAUGES                
                           max     max   max IE    max    max       max                      
 Gauge     B0        B      h      eta   post-eta   s     hs        hss        tmax    tfirst
   No     (m)       (m)    (m)     (m)     (m)    (m/s)  (m*m/s)  (m^3/s^2)    (min)   (min) 
 1001  -21.902  -21.369  29.66    8.29    8.29    5.82    172.39   1002.75     36.6     34.2
 1002   -8.220   -7.698  20.63   12.93   12.93    9.43    139.50   1315.45     39.9     36.5
 1003   -8.979   -8.470  22.85   14.38   14.38    8.99    128.12   1151.44     39.5     36.7
 1004   -8.725   -8.229  21.93   13.70   13.70    8.48    126.59   1073.00     39.5     36.7
 1005   -7.232   -6.753  18.86   12.11   12.11    8.66    121.80   1055.39     39.5     37.0
 1006  -16.429  -15.977  25.10    9.12    9.12    6.34    159.01   1007.37     36.8     36.0
 1007  -12.077  -11.613  21.50    9.88    9.88    4.48     84.47    371.16     40.8     38.0
 1008   -6.800   -6.354  18.29   11.94   11.94   10.30    125.52   1293.33     40.0     37.7
 1009   -7.938   -7.515  20.04   12.53   12.53    8.91    130.29   1160.60     40.2     38.0
 1010   -6.933   -6.542  20.24   13.69   13.69    9.39    124.35   1167.18     40.3     38.3
 1011  -12.760  -12.291  21.12    8.83    8.83    9.81    187.74   1816.68     39.0     38.7
 1012   -2.627   -2.153   9.13    6.98    6.98    6.95     40.87    283.95     39.6     39.1
 1013   -2.989   -2.519  10.62    8.10    8.10    9.70     73.71    621.19     40.4     39.2
 1014   -2.430   -1.964  11.88    9.92    9.92    9.60     82.74    783.26     40.0     39.5
 1015   -1.737   -1.268  10.30    9.04    9.04    7.43     47.73    262.45     39.9     39.5
 1016  -13.776  -13.303  19.32    6.02    6.02    7.38    137.25   1013.30     41.6     39.4
 1017   -2.097   -1.625   8.00    6.38    6.38    6.89     48.32    326.07     40.0     39.6
 1018    0.217    0.689   3.90    4.59    4.59    9.21     29.95    274.01     40.4     40.3
 1019  -10.999  -10.523  16.03    5.51    5.51    6.09     96.74    589.55     41.0     39.7
 1020   -9.256   -8.779  15.22    6.44    6.44    4.98     75.02    373.51     41.0     40.1
 1021   -9.747   -9.274  13.44    4.17    4.17    5.58     70.94    395.24     40.8     40.4
 1022    3.532    3.999   1.85    5.85    5.85    6.01      8.53     42.70     41.0     40.5
 1023   -5.885   -5.407  11.91    6.51    6.51    5.02     56.58    270.33     41.5     40.5
 1024   -6.771   -6.296  12.72    6.42    6.42    4.40     54.92    241.52     42.2     41.3
 1025   -1.707   -1.237   5.28    4.04    4.04    6.88     18.66    124.40     43.4     40.9
 1026  -10.821  -10.353  15.34    4.98    4.98    5.83     80.80    468.90     42.9     41.2
 1027   -1.413   -0.947   5.43    4.48    4.48    3.82     13.08     36.88     43.1     41.5
 1028   -7.274   -6.802  13.51    6.71    6.71    5.32     70.82    376.42     42.4     41.6
 1029   -6.630   -6.157  11.34    5.18    5.18    5.59     60.57    333.81     43.3     41.0
 1030   -5.189   -4.723  10.86    6.14    6.14    6.66     52.86    343.26     42.7     41.7
 1031   -1.528   -1.070   4.78    3.71    3.71    6.60     31.49    207.61     43.4     42.6
 1032  -11.417  -10.959  15.19    4.23    4.23    5.93     84.47    499.00     43.0     42.3
 1033   -6.437   -5.984  10.43    4.45    4.45    3.03     30.46     92.19     44.0     42.8
 1034   -1.190   -0.733   4.05    3.32    3.32    3.75     11.61     34.63     49.8     44.3
 1035   -1.170   -0.726   5.80    5.08    5.08    4.69     17.91     55.26     46.0     44.8
 1036   -2.393   -1.947   5.00    3.06    3.06    4.79     22.91    109.67     47.1     43.6
 1037   -0.945   -0.517   2.47    1.95    1.95    3.02      6.53     17.35     55.1     46.2
 1038   -1.000   -0.575   2.28    1.71    1.71    1.64      3.31      5.45     57.9     49.8
