# 
# GAUGE REPORT
# EVENT: buried-locking-str10-deep_instant
# LOCATION: Newport
# 
       ,  , ,  ,max,max,max,max,max,max,,
Gauge ,B0,B,h0,h,IE,post-IE,s,hs,hss,tmax,tfirst
Number,(m),(m),(m),(m),(m),(m),(m/s),(m*m/s),(m^3/s^2),(min),(min)
 1001,  -21.902,  -21.369,  21.90,  29.72,    8.35,    8.35,    5.90,    174.77,   1030.36,     33.8,     31.2
 1002,   -8.220,   -7.698,   8.22,  21.33,   13.63,   13.63,    9.21,    138.13,   1258.37,     36.7,     33.4
 1003,   -8.979,   -8.470,   8.98,  22.83,   14.36,   14.36,    9.38,    133.98,   1257.34,     36.9,     33.6
 1004,   -8.725,   -8.229,   8.72,  22.25,   14.02,   14.02,    8.85,    135.63,   1201.01,     36.4,     33.7
 1005,   -7.232,   -6.753,   7.23,  18.92,   12.17,   12.17,    8.55,    119.53,   1022.52,     36.4,     33.9
 1006,  -16.429,  -15.977,  16.43,  25.26,    9.28,    9.28,    6.45,    162.85,   1049.96,     33.7,     32.8
 1007,  -12.077,  -11.613,  12.08,  21.54,    9.92,    9.92,    5.01,     85.67,    381.49,     37.5,     34.9
 1008,   -6.800,   -6.354,   6.80,  18.49,   12.14,   12.14,   10.26,    124.21,   1274.84,     36.8,     34.6
 1009,   -7.938,   -7.515,   7.94,  20.23,   12.72,   12.72,    8.74,    128.89,   1126.76,     37.1,     34.9
 1010,   -6.933,   -6.542,   6.93,  20.34,   13.80,   13.80,    9.03,    120.58,   1088.33,     37.1,     35.1
 1011,  -12.760,  -12.291,  12.76,  21.35,    9.06,    9.06,    9.80,    190.64,   1855.87,     35.9,     35.5
 1012,   -2.627,   -2.153,   2.63,   9.11,    6.96,    6.96,    5.75,     39.39,    226.41,     36.5,     36.0
 1013,   -2.989,   -2.519,   2.99,  10.74,    8.22,    8.22,    9.98,     69.59,    680.21,     37.2,     36.0
 1014,   -2.430,   -1.964,   2.43,  12.18,   10.21,   10.21,    9.36,     89.34,    836.62,     36.8,     36.3
 1015,   -1.737,   -1.268,   1.74,  10.45,    9.18,    9.18,    7.02,     49.49,    270.10,     36.8,     36.4
 1016,  -13.776,  -13.303,  13.78,  19.36,    6.05,    6.05,    7.36,    135.81,    999.79,     38.4,     36.2
 1017,   -2.097,   -1.625,   2.10,   8.12,    6.49,    6.49,    7.30,     49.23,    329.04,     37.1,     36.5
 1018,    0.217,    0.689,   0.00,   4.32,    5.01,    5.01,   10.35,     34.48,    304.79,     37.2,     37.1
 1019,  -10.999,  -10.523,  11.00,  15.98,    5.46,    5.46,    6.06,     96.72,    586.39,     37.8,     36.5
 1020,   -9.256,   -8.779,   9.26,  15.11,    6.33,    6.33,    4.96,     73.84,    366.35,     37.9,     36.9
 1021,   -9.747,   -9.274,   9.75,  13.37,    4.10,    4.10,    5.49,     69.22,    379.47,     37.6,     37.3
 1022,    3.532,    3.999,   0.00,   1.96,    5.96,    5.96,    6.39,      9.48,     49.19,     37.8,     37.3
 1023,   -5.885,   -5.407,   5.88,  11.78,    6.37,    6.37,    5.13,     56.71,    275.99,     37.9,     37.4
 1024,   -6.771,   -6.296,   6.77,  12.65,    6.36,    6.36,    4.38,     54.57,    239.22,     39.1,     38.1
 1025,   -1.707,   -1.237,   1.71,   5.30,    4.06,    4.06,    6.77,     18.34,    124.14,     40.2,     37.7
 1026,  -10.821,  -10.353,  10.82,  15.20,    4.85,    4.85,    5.76,     79.88,    460.50,     39.7,     38.0
 1027,   -1.413,   -0.947,   1.41,   5.25,    4.30,    4.30,    3.84,     14.11,     40.84,     40.0,     38.4
 1028,   -7.274,   -6.802,   7.27,  13.38,    6.58,    6.58,    5.40,     71.59,    386.37,     39.3,     38.4
 1029,   -6.630,   -6.157,   6.63,  11.14,    4.98,    4.98,    5.61,     59.36,    327.07,     40.7,     37.8
 1030,   -5.189,   -4.723,   5.19,  10.66,    5.93,    5.93,    6.65,     51.44,    340.40,     39.5,     38.6
 1031,   -1.528,   -1.070,   1.53,   4.70,    3.63,    3.63,    6.60,     30.72,    202.70,     40.2,     39.4
 1032,  -11.417,  -10.959,  11.42,  14.99,    4.03,    4.03,    5.90,     83.97,    492.55,     39.9,     39.1
 1033,   -6.437,   -5.984,   6.44,  10.36,    4.37,    4.37,    3.01,     30.40,     91.58,     40.5,     39.6
 1034,   -1.190,   -0.733,   1.19,   4.04,    3.31,    3.31,    3.46,     11.44,     33.34,     45.9,     41.2
 1035,   -1.170,   -0.726,   1.17,   5.62,    4.90,    4.90,    4.75,     17.14,     53.11,     42.9,     41.7
 1036,   -2.393,   -1.947,   2.39,   5.04,    3.09,    3.09,    4.75,     22.65,    105.29,     44.0,     40.5
 1037,   -0.945,   -0.517,   0.94,   2.50,    1.98,    1.98,    2.95,      6.67,     17.88,     52.0,     43.0
 1038,   -1.000,   -0.575,   1.00,   2.31,    1.73,    1.73,    1.67,      3.39,      5.65,     54.7,     46.6
 1039,   -2.377,   -1.939,   2.38,   4.43,    2.49,    2.49,    2.91,      8.95,     24.24,     51.7,     42.2
 1040,   -2.149,   -1.741,   2.15,   4.55,    2.81,    2.81,    3.02,      9.44,     28.51,     48.0,     43.8
 1041,   -3.591,   -3.190,   3.59,   5.39,    2.20,    2.20,    2.10,     10.79,     22.61,     46.7,     45.0
 1042,   -5.349,   -4.955,   5.35,   7.19,    2.24,    2.24,    1.76,     11.52,     20.26,     52.8,     45.0
 1043,   -7.709,   -7.321,   7.71,   9.65,    2.33,    2.33,    2.21,     19.92,     43.44,     52.9,     46.4
 1044,   -4.191,   -3.806,   4.19,   6.23,    2.43,    2.43,    1.65,     10.10,     16.60,     47.8,     47.3
 1045,   -8.348,   -7.964,   8.35,  10.11,    2.14,    2.14,    1.88,     19.00,     35.71,     50.2,     49.8
 1046,   -0.337,    0.032,   0.34,   1.75,    1.78,    1.78,    3.77,      3.71,     13.47,     53.7,     51.5
 1047,    1.198,    1.544,   0.00,   0.08,    1.63,    1.63,    0.80,      0.07,      0.05,     60.4,     60.3
 1048,   -3.376,   -3.045,   3.38,   4.70,    1.66,    1.66,    1.93,      8.67,     16.72,     62.6,     20.1
 1049,   -5.707,   -5.452,   5.71,   6.75,    1.30,    1.30,    2.06,     13.69,     28.24,     69.8,     10.5
 1050,   -3.210,   -2.961,   3.21,   4.10,    1.14,    1.14,    1.67,      6.67,     11.07,     84.8,     24.6
 1051,   -4.156,   -3.928,   4.16,   5.11,    1.18,    1.18,    1.36,      6.74,      9.19,     85.2,     22.8
 1052,   -5.587,   -5.362,   5.59,   6.54,    1.18,    1.18,    1.16,      7.37,      8.54,     83.8,     22.7
 1053,   -4.456,   -4.235,   4.46,   5.45,    1.22,    1.22,    0.91,      4.86,      4.43,     81.6,     22.3
 1054,   -1.567,   -1.342,   1.57,   2.54,    1.20,    1.20,    1.37,      2.83,      3.89,     83.5,     22.8
 1055,   -5.433,   -5.211,   5.43,   6.42,    1.21,    1.21,    0.94,      5.84,      5.50,     83.8,     22.4
 1056,   -0.894,   -0.675,   0.89,   1.95,    1.28,    1.28,    1.54,      1.93,      2.97,     83.4,     22.3
 1057,   -5.171,   -4.954,   5.17,   6.29,    1.33,    1.33,    1.13,      6.88,      7.79,     82.7,     22.2
 1058,   -2.561,   -2.325,   2.56,   3.75,    1.42,    1.42,    0.51,      1.44,      0.73,     83.6,     24.0
 1059,   -3.620,   -3.385,   3.62,   4.78,    1.40,    1.40,    1.00,      4.70,      4.64,     83.6,     24.0
 1060,   -1.542,   -1.307,   1.54,   2.72,    1.41,    1.41,    0.53,      1.43,      0.77,     83.6,     23.8
 1061,   -1.459,   -1.223,   1.46,   2.41,    1.19,    1.19,    3.50,      4.74,     16.60,     91.5,     24.7
 1062,   -1.459,   -1.223,   1.46,   2.41,    1.19,    1.19,    3.50,      4.74,     16.60,     91.5,     24.7
 1063,   -3.073,   -2.824,   3.07,   4.02,    1.20,    1.20,    0.60,      2.00,      1.20,     92.3,     26.6
 1064,   -3.514,   -3.266,   3.51,   4.46,    1.20,    1.20,    0.58,      2.29,      1.32,     92.3,     26.5
 1065,   -3.597,   -3.347,   3.60,   4.54,    1.20,    1.20,    0.56,      2.36,      1.31,     92.4,     26.7
 1066,   -3.193,   -2.943,   3.19,   4.14,    1.20,    1.20,    0.67,      2.45,      1.55,     92.4,     26.7
 1067,   -1.734,   -1.468,   1.73,   2.66,    1.19,    1.19,    0.58,      1.41,      0.82,     88.0,     30.7
 1068,   -0.849,   -0.582,   0.85,   1.72,    1.13,    1.13,    0.70,      1.19,      0.83,     88.1,     31.6
 1069,   -1.342,   -1.074,   1.34,   1.66,    0.58,    0.58,    3.85,      4.46,     16.94,    100.1,     38.1
 1070,   -1.472,   -1.206,   1.47,   1.73,    0.52,    0.52,    0.68,      1.14,      0.77,    113.3,     48.9
 1071,   -7.422,   -7.224,   7.42,   8.44,    1.21,    1.21,    1.75,     14.18,     24.80,     91.2,     20.5
 1072,   -5.478,   -5.282,   5.48,   6.49,    1.20,    1.20,    1.77,     10.84,     19.05,     91.1,     20.3
 1073,   -2.550,   -2.387,   2.55,   3.57,    1.19,    1.19,    1.31,      4.51,      5.74,     90.3,      5.8
 1074,   -2.981,   -2.819,   2.98,   4.02,    1.20,    1.20,    1.05,      4.20,      4.43,     90.3,      5.3
 1075,   -0.972,   -0.806,   0.97,   1.93,    1.13,    1.13,    0.25,      0.28,      0.07,    103.5,      9.9
 1076,   -0.703,   -0.538,   0.70,   0.73,    0.20,    0.20,    0.05,      0.04,      0.00,     12.1,  -9999.0
 1077,   21.199,   21.679,   0.00,   0.00,   21.68,   21.68,    0.00,      0.00,      0.00,      0.0,  -9999.0
 1078,   21.310,   21.790,   0.00,   0.00,   21.79,   21.79,    0.00,      0.00,      0.00,      0.0,  -9999.0
