# gaugeno, longitude, latitude, B0
    1001,   -124.08981480,    44.67000000,    -21.902
    1002,   -124.07000000,    44.66148150,     -8.220
    1003,   -124.07120370,    44.64759260,     -8.979
    1004,   -124.07462960,    44.63518520,     -8.725
    1005,   -124.07509260,    44.62305560,     -7.232
    1006,   -124.09101850,    44.60694440,    -16.429
    1007,   -124.07166670,    44.61351850,    -12.077
    1008,   -124.07481480,    44.60314810,     -6.800
    1009,   -124.07546300,    44.59083330,     -7.938
    1010,   -124.07638890,    44.57648150,     -6.933
    1011,   -124.06101850,    44.61916670,    -12.760
    1012,   -124.05888890,    44.62314810,     -2.627
    1013,   -124.05666670,    44.62120370,     -2.989
    1014,   -124.05453700,    44.61925930,     -2.430
    1015,   -124.05425930,    44.62129630,     -1.737
    1016,   -124.05648150,    44.62351850,    -13.776
    1017,   -124.05416670,    44.62361110,     -2.097
    1018,   -124.05046300,    44.62509260,      0.217
    1019,   -124.05601850,    44.62546300,    -10.999
    1020,   -124.05462960,    44.62768520,     -9.256
    1021,   -124.04944440,    44.62629630,     -9.747
    1022,   -124.04805560,    44.62250000,      3.532
    1023,   -124.05194440,    44.62935190,     -5.885
    1024,   -124.04611110,    44.63037040,     -6.771
    1025,   -124.04629630,    44.62546300,     -1.707
    1026,   -124.04351850,    44.62592590,    -10.821
    1027,   -124.04388890,    44.62398150,     -1.413
    1028,   -124.04240740,    44.62990740,     -7.274
    1029,   -124.04629630,    44.62861110,     -6.630
    1030,   -124.03962960,    44.62796300,     -5.189
    1031,   -124.04000000,    44.62111110,     -1.528
    1032,   -124.03527780,    44.62527780,    -11.417
    1033,   -124.03166670,    44.62435190,     -6.437
    1034,   -124.04407410,    44.61731480,     -1.190
    1035,   -124.03685190,    44.61324070,     -1.170
    1036,   -124.03148150,    44.61861110,     -2.393
    1037,   -124.02583330,    44.61018520,     -0.945
    1038,   -124.03185190,    44.60462960,     -1.000
    1039,   -124.02018520,    44.62453700,     -2.377
    1040,   -124.00944440,    44.61546300,     -2.149
    1041,   -124.01398150,    44.60361110,     -3.591
    1042,   -124.01046300,    44.60305560,     -5.349
    1043,   -124.01157410,    44.59722220,     -7.709
    1044,   -124.01314810,    44.59342590,     -4.191
    1045,   -124.02351850,    44.58425930,     -8.348
    1046,   -124.02000000,    44.57833330,     -0.337
    1047,   -124.00814810,    44.57490740,      1.198
    1048,   -123.99490740,    44.58000000,     -3.376
    1049,   -123.96722220,    44.57305560,     -5.707
    1050,   -123.94814810,    44.61388890,     -3.210
    1051,   -123.94138890,    44.61555560,     -4.156
    1052,   -123.94055560,    44.61527780,     -5.587
    1053,   -123.93981480,    44.61500000,     -4.456
    1054,   -123.94055560,    44.61583330,     -1.567
    1055,   -123.93990740,    44.61555560,     -5.433
    1056,   -123.93888890,    44.61518520,     -0.894
    1057,   -123.93777780,    44.61768520,     -5.171
    1058,   -123.94240740,    44.62027780,     -2.561
    1059,   -123.94222220,    44.62055560,     -3.620
    1060,   -123.94194440,    44.62083330,     -1.542
    1061,   -123.94250000,    44.62074070,     -1.459
    1062,   -123.94250000,    44.62074070,     -1.459
    1063,   -123.94564810,    44.62166670,     -3.073
    1064,   -123.94537040,    44.62212960,     -3.514
    1065,   -123.94583330,    44.62222220,     -3.597
    1066,   -123.94611110,    44.62185190,     -3.193
    1067,   -123.95018520,    44.62472220,     -1.734
    1068,   -123.95055560,    44.62500000,     -0.849
    1069,   -123.95046300,    44.62518520,     -1.342
    1070,   -123.94981480,    44.62583330,     -1.472
    1071,   -123.93527780,    44.60925930,     -7.422
    1072,   -123.93472220,    44.60879630,     -5.478
    1073,   -123.92611110,    44.60759260,     -2.550
    1074,   -123.92574070,    44.60768520,     -2.981
    1075,   -123.92500000,    44.61333330,     -0.972
    1076,   -123.92472220,    44.61370370,     -0.703
    1077,   -124.02555560,    44.65907410,     21.199
    1078,   -124.02555560,    44.65861110,     21.310
