
#GAUGE REPORT
#EVENT: buried-locking-str10-deep_instant
#LOCATION: Seaside
#
 
     ,  , ,  ,max,max,max,max,max,max,,                      
Gauge,B0,B,h0,h,IE,post-IE,s,hs,hss,tmax,tfirst
Number,(m),(m),(m),(m),(m),(m),(m/s),(m*m/s),(m^3/s^2),(min),(min) 
 1001 , -0.947,  -1.120, 0.95,  13.77,  12.65,  12.65,   7.56,    88.62,   670.16,    42.0,    13.5
 1002 , -0.658,  -0.831, 0.66,  13.17,  12.34,  12.34,   8.34,    91.14,   760.49,    42.0,    13.5
 1003 ,  0.284,   0.111, 0.00,  12.16,  12.27,  12.27,   8.38,    83.41,   698.70,    42.0,    40.7
 1004 , -0.248,  -0.421, 0.25,  10.13,   9.71,   9.71,  13.69,    77.75,   981.40,    45.9,    41.1
 1005 , -0.818,  -0.990, 0.82,  13.54,  12.55,  12.55,   7.69,    85.89,   660.74,    42.0,    13.5
 1006 , -1.191,  -1.360, 1.19,  13.58,  12.22,  12.22,   6.43,    74.07,   476.60,    42.2,    14.7
 1007 , -0.846,  -1.014, 0.85,  13.12,  12.11,  12.11,   9.43,    70.51,   640.70,    42.2,    14.8
 1008 , -0.953,  -1.123, 0.95,  13.12,  12.00,  12.00,   6.66,    72.41,   482.55,    42.2,    14.9
 1009 , -1.054,  -1.223, 1.05,  13.08,  11.86,  11.86,   5.43,    60.06,   315.14,    42.3,    15.0
 1010 , -1.224,  -1.393, 1.22,  13.24,  11.85,  11.85,   4.64,    60.80,   282.20,    42.3,    15.1
 1011 ,  0.014,  -0.158, 0.00,   9.81,   9.65,   9.65,  13.13,    32.81,   393.99,    45.8,    41.8
 1012 , -0.394,  -0.566, 0.39,  10.32,   9.76,   9.76,  13.70,    40.17,   496.45,    45.7,    41.8
 1013 , -1.931,  -2.073, 1.93,  15.28,  13.20,  13.20,   5.20,    70.83,   350.17,    41.1,    17.0
 1014 , -1.179,  -1.320, 1.18,  14.31,  12.99,  12.99,   4.16,    52.79,   202.34,    41.1,    17.0
 1015 , -1.628,  -1.769, 1.63,  14.99,  13.22,  13.22,   5.61,    75.10,   421.06,    41.1,    17.1
 1016 , -1.030,  -1.183, 1.03,  11.37,  10.19,  10.19,  10.38,    90.87,   816.64,    41.8,    28.1
 1017 , -0.998,  -1.149, 1.00,  10.86,   9.71,   9.71,   4.66,    42.04,   183.56,    45.2,    29.3
 1018 , -1.077,  -1.227, 1.08,  11.12,   9.89,   9.89,   4.79,    41.88,   200.50,    45.2,    29.6
 1019 , -0.440,  -0.594, 0.44,  16.60,  16.01,  16.01,  10.71,   109.94,  1145.73,    41.6,    13.5
 1020 , -2.111,  -2.264, 2.11,  16.81,  14.55,  14.55,  11.09,   164.90,  1828.58,    40.8,     6.8
 1021 , -0.825,  -0.966, 0.83,  17.34,  16.37,  16.37,   9.26,   140.09,  1132.04,    40.0,     5.0
 1022 , -1.513,  -1.666, 1.51,  20.13,  18.46,  18.46,   9.47,   136.53,  1102.45,    40.8,     4.9
 1023 , -1.100,  -1.228, 1.10,  13.14,  11.91,  11.91,  13.29,    62.69,   431.73,    41.6,    20.5
 1024 , -1.072,  -1.200, 1.07,  13.48,  12.28,  12.28,   8.12,    71.63,   380.61,    41.5,    21.6
 1025 , -1.068,  -1.193, 1.07,  13.16,  11.97,  11.97,  13.36,    65.04,   401.00,    41.1,    23.8
 1026 , -1.077,  -1.201, 1.08,  13.16,  11.96,  11.96,   6.22,    48.11,   175.91,    41.4,    25.2
 1027 , -1.791,  -1.911, 1.79,  14.09,  12.18,  12.18,  12.15,    80.99,   471.50,    41.3,    27.2
 1028 , -0.615,  -0.733, 0.62,  10.58,   9.84,   9.84,   5.37,    45.21,   242.86,    45.2,    40.0
 1029 , -1.398,  -1.502, 1.40,  12.35,  10.85,  10.85,   3.70,    44.55,   164.48,    41.7,    33.0
 1030 ,  2.951,   2.854, 0.00,   5.87,   8.73,   8.73,   7.97,    30.26,   241.09,    44.2,    39.4
 1031 , -6.250,  -6.424, 6.25,  23.08,  16.66,  16.66,   6.82,   103.33,   531.88,    39.5,     4.6
 1032 , -8.908,  -9.046, 8.91,  26.39,  17.35,  17.35,   7.94,   175.72,  1324.75,    39.5,     5.1
 1033 , -8.552,  -8.665, 8.55,  24.70,  16.04,  16.04,   5.79,   112.22,   626.47,    39.5,     5.1
 1034 , -7.267,  -7.356, 7.27,  20.88,  13.53,  13.53,  10.55,    92.93,   629.08,    39.9,     5.5
 1035 , -9.108,  -9.176, 9.11,  21.60,  12.42,  12.42,  12.65,   147.92,  1148.21,    40.0,     6.1
 1036 ,-22.253, -22.394,22.25,  33.39,  11.00,  11.00,   7.07,   224.40,  1508.05,    37.4,     5.6
 1037 ,-18.658, -18.729,18.66,  29.79,  11.06,  11.06,   7.11,   184.06,  1137.22,    37.7,     5.8
 1038 ,-13.411, -13.442,13.41,  23.25,   9.81,   9.81,   6.81,   137.86,   819.43,    38.4,     5.4
 1039 ,-15.646, -15.766,15.65,  26.81,  11.05,  11.05,   7.43,   199.11,  1480.41,    39.1,     5.4
 1040 ,-13.701, -13.767,13.70,  24.43,  10.67,  10.67,   6.20,   136.83,   832.06,    39.1,     5.7
 1041 , -2.117,  -2.235, 2.12,  13.70,  11.47,  11.47,   3.88,    43.23,   140.76,    41.2,    27.5
 1042 , -0.672,  -0.790, 0.67,  10.80,  10.02,  10.02,   5.33,    39.80,   210.67,    44.7,    39.6
 1043 , -1.413,  -1.516, 1.41,  12.16,  10.64,  10.64,   5.78,    46.68,   180.75,    41.7,    33.1
 1044 ,  1.923,   1.826, 0.00,   7.09,   8.92,   8.92,   8.86,    36.71,   245.59,    44.1,    39.4
 1045 ,  2.671,   2.550, 0.00,   7.44,   9.99,   9.99,  12.75,    44.43,   510.79,    42.4,    37.8
 1046 ,  4.003,   3.871, 0.00,   5.88,   9.75,   9.75,  10.37,    38.35,   357.24,    44.7,    38.9
 1047 ,  2.502,   2.361, 0.00,   9.23,  11.59,  11.59,   5.80,    43.74,   246.04,    43.0,    41.1
 1048 , -0.761,  -0.900, 0.76,  12.21,  11.31,  11.31,   3.25,    28.28,    91.76,    43.0,    36.7
 1049 , -1.063,  -1.202, 1.06,  12.70,  11.50,  11.50,   3.02,    25.86,    78.04,    43.0,    36.9
 1050 , -0.907,  -1.045, 0.91,  12.39,  11.34,  11.34,   3.88,    34.03,   132.20,    43.0,    37.1
 1051 , 10.900,  10.706, 0.00,   8.35,  19.05,  19.05,  10.33,    29.62,   281.11,    41.2,    38.4
 1052 , 13.329,  13.148, 0.00,   4.41,  17.56,  17.56,   8.80,    23.94,   168.36,    41.7,    40.8
 1053 , 11.896,  11.726, 0.00,   0.87,  12.60,  12.60,  12.43,    10.84,   134.74,    40.9,    40.8
 1054 ,  3.362,   3.167, 0.00,   3.98,   7.15,   7.15,   7.37,    11.51,    81.52,    43.8,    41.8
 1055 ,  4.625,   4.439, 0.00,   6.24,  10.68,  10.68,   9.22,    20.64,   129.09,    42.7,    41.5
 1056 ,  3.803,   3.624, 0.00,   5.63,   9.25,   9.25,  12.89,    19.69,   253.83,    44.2,    41.5
 1057 ,  5.830,   5.622, 0.00,   1.40,   7.02,   7.02,   3.31,     3.21,     7.37,    50.8,    46.3
 1058 ,  4.012,   3.816, 0.00,   3.30,   7.12,   7.12,   4.40,    14.29,    62.90,    44.9,    43.2
 1059 ,  5.740,   5.555, 0.00,   2.47,   8.03,   8.03,   8.69,    20.22,   168.32,    41.9,    41.8
 1060 ,  5.334,   5.126, 0.00,   2.30,   7.43,   7.43,   2.89,     6.36,    17.56,    45.2,    44.2
 1061 ,  3.604,   3.417, 0.00,   6.47,   9.89,   9.89,  12.47,    36.67,   259.31,    43.3,    41.9
 1062 ,  2.230,   2.051, 0.00,   6.44,   8.49,   8.49,  11.71,    72.89,   853.87,    47.6,    40.5
 1063 , -3.005,  -3.194, 3.00,  19.52,  16.33,  16.33,   7.61,    98.25,   520.04,    41.0,     4.5
 1064 , -3.645,  -3.819, 3.65,  20.44,  16.62,  16.62,   7.71,    95.57,   507.85,    41.2,     4.6
 1065 , -2.452,  -2.617, 2.45,  20.47,  17.85,  17.85,   8.43,   104.76,   623.36,    41.0,     4.2
 1066 , -3.178,  -3.336, 3.18,  21.89,  18.55,  18.55,  11.27,   120.35,   785.28,    41.0,     4.5
 1067 , -1.494,  -1.647, 1.49,  20.23,  18.58,  18.58,  10.75,   137.20,  1111.75,    40.8,     5.0
