# gaugeno, longitude, latitude, B0
    1001,   -123.91120370,    46.01296300,     -0.947
    1002,   -123.91111110,    46.01287040,     -0.658
    1003,   -123.91111110,    46.01277780,      0.284
    1004,   -123.91055560,    46.01277780,     -0.248
    1005,   -123.91120370,    46.01277780,     -0.818
    1006,   -123.91138890,    46.01101850,     -1.191
    1007,   -123.91157410,    46.01083330,     -0.846
    1008,   -123.91129630,    46.01083330,     -0.953
    1009,   -123.91138890,    46.01064810,     -1.054
    1010,   -123.91148150,    46.01055560,     -1.224
    1011,   -123.90787040,    46.01046300,      0.014
    1012,   -123.90787040,    46.01027780,     -0.394
    1013,   -123.92194440,    46.00157410,     -1.931
    1014,   -123.92240740,    46.00166670,     -1.179
    1015,   -123.92212960,    46.00138890,     -1.628
    1016,   -123.91435190,    46.00324070,     -1.030
    1017,   -123.91472220,    46.00157410,     -0.998
    1018,   -123.91462960,    46.00129630,     -1.077
    1019,   -123.91972220,    46.00740740,     -0.440
    1020,   -123.92601850,    46.01185190,     -2.111
    1021,   -123.93157410,    46.00898150,     -0.825
    1022,   -123.93157410,    46.01638890,     -1.513
    1023,   -123.92425930,    45.99490740,     -1.100
    1024,   -123.92416670,    45.99370370,     -1.072
    1025,   -123.92416670,    45.99259260,     -1.068
    1026,   -123.92425930,    45.99166670,     -1.077
    1027,   -123.92555560,    45.98972220,     -1.791
    1028,   -123.91981480,    45.98268520,     -0.615
    1029,   -123.92722220,    45.97953700,     -1.398
    1030,   -123.92685190,    45.97361110,      2.951
    1031,   -123.93851850,    46.03194440,     -6.250
    1032,   -123.94092590,    46.01453700,     -8.908
    1033,   -123.94111110,    45.99953700,     -8.552
    1034,   -123.94472220,    45.98657410,     -7.267
    1035,   -123.95046300,    45.97703700,     -9.108
    1036,   -123.97046300,    46.03666670,    -22.253
    1037,   -123.97129630,    46.00083330,    -18.658
    1038,   -123.97037040,    45.97129630,    -13.411
    1039,   -123.95666670,    46.01703700,    -15.646
    1040,   -123.95824070,    45.98407410,    -13.701
    1041,   -123.92574070,    45.98907410,     -2.117
    1042,   -123.91962960,    45.98250000,     -0.672
    1043,   -123.92722220,    45.97907410,     -1.413
    1044,   -123.92666670,    45.97379630,      1.923
    1045,   -123.92777780,    45.99296300,      2.671
    1046,   -123.91962960,    45.99305560,      4.003
    1047,   -123.91259260,    45.99305560,      2.502
    1048,   -123.91453700,    45.99333330,     -0.761
    1049,   -123.91481480,    45.99324070,     -1.063
    1050,   -123.91472220,    45.99296300,     -0.907
    1051,   -123.92592590,    46.03416670,     10.900
    1052,   -123.92453700,    46.02703700,     13.329
    1053,   -123.92370370,    46.02009260,     11.896
    1054,   -123.91842590,    46.03064810,      3.362
    1055,   -123.91953700,    46.02574070,      4.625
    1056,   -123.91833330,    46.02101850,      3.803
    1057,   -123.91148150,    46.03314810,      5.830
    1058,   -123.91175930,    46.02638890,      4.012
    1059,   -123.91138890,    46.01990740,      5.740
    1060,   -123.91648150,    46.03564810,      5.334
    1061,   -123.91648150,    46.02416670,      3.604
    1062,   -123.91537040,    46.01907410,      2.230
    1063,   -123.93453700,    46.03657410,     -3.005
    1064,   -123.93416670,    46.02916670,     -3.645
    1065,   -123.93333330,    46.02407410,     -2.452
    1066,   -123.93314810,    46.02009260,     -3.178
    1067,   -123.93166670,    46.01675930,     -1.494
