# 
# GAUGE REPORT
# EVENT: buried-locking-str10-deep
# LOCATION: Seaside
# 
       ,  , ,  ,max,max,max,max,max,max,,
Gauge ,B0,B,h0,h,IE,post-IE,s,hs,hss,tmax,tfirst
Number,(m),(m),(m),(m),(m),(m),(m/s),(m*m/s),(m^3/s^2),(min),(min)
 1001,   -0.947,   -1.120,   0.95,  13.60,   12.48,   12.48,    5.81,     70.68,    410.48,     44.1,     15.3
 1002,   -0.658,   -0.831,   0.66,  13.03,   12.20,   12.20,    6.71,     76.04,    510.44,     44.2,     15.3
 1003,    0.284,    0.111,   0.00,  12.04,   12.15,   12.15,    6.62,     70.68,    467.57,     44.2,     34.3
 1004,   -0.248,   -0.421,   0.25,   9.44,    9.02,    9.02,   12.83,     76.89,    962.72,     48.2,     43.3
 1005,   -0.818,   -0.990,   0.82,  13.42,   12.43,   12.43,    6.05,     71.92,    435.47,     44.2,     15.3
 1006,   -1.191,   -1.360,   1.19,  13.35,   11.99,   11.99,    6.14,     72.52,    445.39,     44.4,     16.4
 1007,   -0.846,   -1.014,   0.85,  12.75,   11.74,   11.74,    7.48,     69.58,    520.79,     44.4,     16.5
 1008,   -0.953,   -1.123,   0.95,  12.85,   11.73,   11.73,    6.07,     68.87,    418.28,     44.5,     16.6
 1009,   -1.054,   -1.223,   1.05,  12.89,   11.66,   11.66,    5.63,     60.85,    342.72,     44.5,     16.7
 1010,   -1.224,   -1.393,   1.22,  13.01,   11.61,   11.61,    4.85,     56.23,    256.09,     44.5,     16.9
 1011,    0.014,   -0.158,   0.00,   9.34,    9.18,    9.18,   13.11,     30.67,    367.84,     47.7,     44.1
 1012,   -0.394,   -0.566,   0.39,   9.91,    9.34,    9.34,   13.33,     38.25,    468.00,     47.7,     44.1
 1013,   -1.931,   -2.073,   1.93,  15.39,   13.31,   13.31,    5.25,     67.98,    300.41,     43.2,     18.8
 1014,   -1.179,   -1.320,   1.18,  13.63,   12.31,   12.31,    4.43,     59.90,    265.42,     43.3,     18.8
 1015,   -1.628,   -1.769,   1.63,  14.74,   12.97,   12.97,    5.35,     78.48,    419.90,     43.3,     19.0
 1016,   -1.030,   -1.183,   1.03,  10.59,    9.41,    9.41,    9.01,     91.44,    823.46,     44.1,     29.7
 1017,   -0.998,   -1.149,   1.00,  10.27,    9.12,    9.12,    5.29,     46.94,    248.29,     47.6,     31.0
 1018,   -1.077,   -1.227,   1.08,  10.49,    9.26,    9.26,    4.69,     38.41,    180.28,     47.5,     31.2
 1019,   -0.440,   -0.594,   0.44,  16.54,   15.95,   15.95,   10.95,    110.85,   1200.37,     43.8,     15.2
 1020,   -2.111,   -2.264,   2.11,  16.83,   14.57,   14.57,   10.80,    157.86,   1704.56,     43.1,      8.6
 1021,   -0.825,   -0.966,   0.82,  16.63,   15.66,   15.66,    9.18,    132.19,   1050.86,     42.2,      6.7
 1022,   -1.513,   -1.666,   1.51,  19.92,   18.25,   18.25,    9.28,    128.96,   1019.62,     43.0,      6.7
 1023,   -1.100,   -1.228,   1.10,  12.85,   11.62,   11.62,   13.06,     72.18,    434.27,     44.1,     22.2
 1024,   -1.072,   -1.200,   1.07,  12.82,   11.62,   11.62,    9.60,     59.96,    281.68,     43.3,     23.4
 1025,   -1.068,   -1.193,   1.07,  12.73,   11.54,   11.54,   13.24,     52.86,    365.70,     43.3,     25.4
 1026,   -1.077,   -1.201,   1.08,  12.58,   11.38,   11.38,    5.71,     45.64,    165.54,     43.8,     27.1
 1027,   -1.791,   -1.911,   1.79,  13.57,   11.66,   11.66,   13.05,     58.44,    355.14,     43.6,     29.0
 1028,   -0.615,   -0.733,   0.61,  10.92,   10.19,   10.19,    6.79,     51.01,    346.42,     46.9,     41.7
 1029,   -1.398,   -1.502,   1.40,  12.15,   10.64,   10.64,    3.73,     44.15,    161.19,     43.8,     34.9
 1030,    2.951,    2.854,   0.00,   5.77,    8.62,    8.62,    7.90,     29.20,    230.70,     46.5,     41.3
 1031,   -6.250,   -6.424,   6.25,  22.35,   15.93,   15.93,    6.53,     98.02,    491.03,     41.8,      6.7
 1032,   -8.908,   -9.046,   8.91,  26.47,   17.42,   17.42,    7.81,    157.30,    934.88,     41.6,      7.0
 1033,   -8.552,   -8.665,   8.55,  25.12,   16.46,   16.46,    5.94,    118.60,    562.59,     41.6,      6.9
 1034,   -7.267,   -7.356,   7.27,  21.11,   13.75,   13.75,   10.34,     98.19,    687.52,     42.1,      7.3
 1035,   -9.108,   -9.176,   9.11,  22.33,   13.16,   13.16,   11.98,    164.03,   1317.15,     42.5,      8.0
 1036,  -22.253,  -22.394,  22.25,  33.24,   10.85,   10.85,    6.81,    216.97,   1416.15,     39.6,      7.7
 1037,  -18.658,  -18.729,  18.66,  30.17,   11.44,   11.44,    7.26,    191.97,   1221.64,     39.8,      7.9
 1038,  -13.411,  -13.442,  13.41,  23.09,    9.65,    9.65,    6.88,    127.18,    700.43,     39.9,      7.0
 1039,  -15.646,  -15.766,  15.65,  27.17,   11.41,   11.41,    7.15,    193.69,   1384.51,     40.7,      7.5
 1040,  -13.701,  -13.767,  13.70,  24.68,   10.91,   10.91,    6.17,    129.53,    738.77,     42.1,      7.5
 1041,   -2.117,   -2.235,   2.12,  13.76,   11.52,   11.52,    5.73,     70.00,    356.19,     43.5,     29.4
 1042,   -0.672,   -0.790,   0.67,  10.94,   10.15,   10.15,    5.36,     38.61,    204.58,     46.9,     41.6
 1043,   -1.413,   -1.516,   1.41,  11.96,   10.44,   10.44,    5.46,     41.29,    144.63,     43.8,     35.0
 1044,    1.923,    1.826,   0.00,   7.00,    8.83,    8.83,    8.98,     35.12,    222.38,     46.5,     41.3
 1045,    2.671,    2.550,   0.00,   7.67,   10.22,   10.22,   11.38,     49.36,    389.11,     42.8,     39.8
 1046,    4.003,    3.871,   0.00,   5.74,    9.61,    9.61,   10.07,     33.99,    324.57,     46.9,     41.0
 1047,    2.502,    2.361,   0.00,   9.05,   11.41,   11.41,    5.51,     43.48,    239.64,     45.1,     43.3
 1048,   -0.761,   -0.900,   0.76,  11.53,   10.63,   10.63,    3.38,     32.44,    109.76,     45.4,     38.4
 1049,   -1.063,   -1.202,   1.06,  11.92,   10.72,   10.72,    3.33,     32.89,    109.64,     45.4,     38.6
 1050,   -0.907,   -1.045,   0.91,  11.91,   10.87,   10.87,    3.72,     32.10,    111.35,     45.4,     38.8
 1051,   10.900,   10.706,   0.00,   7.53,   18.23,   18.23,    9.62,     26.71,    256.95,     44.2,     40.5
 1052,   13.329,   13.148,   0.00,   4.35,   17.50,   17.50,   10.01,     22.12,    144.55,     44.0,     43.1
 1053,   11.896,   11.726,   0.00,   0.87,   12.59,   12.59,   12.55,     10.87,    136.43,     43.1,     43.1
 1054,    3.362,    3.167,   0.00,   3.75,    6.92,    6.92,    7.48,     11.11,     79.60,     48.6,     44.1
 1055,    4.625,    4.439,   0.00,   6.00,   10.44,   10.44,    9.25,     18.77,    116.39,     44.9,     43.8
 1056,    3.803,    3.624,   0.00,   5.35,    8.97,    8.97,   11.24,     18.18,    126.38,     46.6,     43.8
 1057,    5.830,    5.622,   0.00,   1.02,    6.64,    6.64,    2.84,      2.13,      4.57,     53.6,     48.7
 1058,    4.012,    3.816,   0.00,   3.10,    6.91,    6.91,    4.21,     12.74,     53.61,     47.1,     45.4
 1059,    5.740,    5.555,   0.00,   2.58,    8.13,    8.13,    9.07,     23.33,    211.54,     44.2,     44.1
 1060,    5.334,    5.126,   0.00,   2.12,    7.24,    7.24,    2.97,      5.39,     14.30,     47.5,     46.5
 1061,    3.604,    3.417,   0.00,   6.18,    9.60,    9.60,   11.21,     35.51,    281.09,     45.6,     44.2
 1062,    2.230,    2.051,   0.00,   6.31,    8.36,    8.36,   11.70,     72.67,    836.91,     43.8,     42.6
 1063,   -3.005,   -3.194,   3.00,  19.16,   15.97,   15.97,    7.32,     94.64,    497.42,     43.3,      6.4
 1064,   -3.645,   -3.819,   3.65,  20.30,   16.48,   16.48,    7.52,     95.98,    495.18,     43.5,      6.4
 1065,   -2.452,   -2.617,   2.45,  20.02,   17.41,   17.41,    8.61,    106.67,    650.18,     43.3,      6.4
 1066,   -3.178,   -3.336,   3.18,  22.03,   18.70,   18.70,    9.63,    120.29,    773.91,     43.2,      6.4
 1067,   -1.494,   -1.647,   1.49,  19.95,   18.31,   18.31,   10.59,    130.12,   1037.10,     43.0,      6.8
