# GNSS stations from https://www.geodesy.org/panga/cascadia_coor.html
# name, longitude, latitude
albh, -123.4875,   48.3898
bamf, -125.1351,   48.8353
bend, -121.3151,   44.0571
bils, -124.2523,   47.5391
cabl, -124.5600,   42.8400
chzz, -123.9800,   45.4900
cski, -122.2355,   47.3803
ddsn, -123.2400,   43.1200
eliz, -127.1226,   49.8730
elsr, -122.7605,   47.4975
grmd, -123.0226,   46.7954
holb, -128.1350,   50.6404
lsig, -121.6895,   47.6951
lwck, -124.0536,   46.2778
mkah, -124.5888,   48.3707
neah, -124.6200,   48.3000
nint, -121.7969,   47.4951
ntka, -126.6166,   49.5924
ocen, -124.1593,   46.9522
onab, -124.0741,   44.5143
oylr, -122.2047,   47.4746
p154, -123.3600,   41.8100
p156, -123.9100,   40.0200
p157, -124.3081,   40.2475
p160, -124.1300,   40.5500
p162, -124.2370,   40.6911
P316, -124.0900,   41.5600
p329, -123.4520,   40.0822
p343, -123.3300,   40.8900
p362, -124.2300,   42.2100
p364, -124.4100,   43.0900
p365, -124.2500,   43.4000
p366, -123.9796,   43.6143
p380, -121.7800,   42.2600
p387, -121.5700,   44.3000
p395, -123.8600,   45.0200
p396, -123.8200,   45.3100
p397, -123.7991,   46.4216
p398, -123.9200,   46.9300
p401, -124.5600,   47.9400
p403, -124.1400,   48.0600
p407, -123.9300,   45.9500
p435, -123.5000,   48.0600
p441, -122.1400,   48.9200
p733, -124.4133,   42.4420
p734, -124.2900,   42.0800
pabh, -124.2000,   47.2100
ptrf, -124.4129,   48.5441
ptsg, -124.2600,   41.7800
reed, -123.2980,   43.6341
sc02, -123.0100,   48.5500
sc03, -123.7100,   47.8200
seas, -123.9216,   45.9838
seat, -122.3100,   47.6500
tfno, -125.9078,   49.1541
thun, -122.2884,   47.1058
till, -123.8307,   45.4550
trnd, -124.1509,   41.0539
uclu, -125.5416,   48.9256
ufda, -122.6673,   47.7550
wdcb, -122.5407,   40.5801
ybhb, -122.7107,   41.7317
