
2   ixy
0   method
0.0666667    ds
92    nrules
39.966666667   -125.433333333   -123.900000000  
40.033333333   -125.500000000   -123.966666667  
40.100000000   -125.566666667   -124.033333333  
40.166666667   -125.633333333   -124.100000000  
40.233333333   -125.633333333   -124.166666667  
40.300000000   -125.633333333   -124.233333333  
40.366666667   -125.566666667   -124.233333333  
40.433333333   -125.500000000   -124.233333333  
40.500000000   -125.433333333   -124.233333333  
40.566666667   -125.366666667   -124.166666667  
40.633333333   -125.433333333   -124.100000000  
40.700000000   -125.366666667   -123.966666667  
40.766666667   -125.366666667   -123.900000000  
40.833333333   -125.433333333   -123.833333333  
40.900000000   -125.433333333   -123.900000000  
40.966666667   -125.433333333   -123.966666667  
41.033333333   -125.433333333   -124.033333333  
41.100000000   -125.366666667   -124.033333333  
41.166666667   -125.366666667   -123.966666667  
41.233333333   -125.433333333   -123.966666667  
41.300000000   -125.500000000   -123.966666667  
41.366666667   -125.566666667   -123.966666667  
41.433333333   -125.633333333   -123.966666667  
41.500000000   -125.633333333   -123.966666667  
41.566666667   -125.566666667   -123.966666667  
41.633333333   -125.633333333   -124.033333333  
41.700000000   -125.566666667   -124.033333333  
41.766666667   -125.633333333   -124.100000000  
41.833333333   -125.633333333   -124.100000000  
41.900000000   -125.700000000   -124.100000000  
41.966666667   -125.633333333   -124.100000000  
42.033333333   -125.566666667   -124.166666667  
42.100000000   -125.566666667   -124.233333333  
42.166666667   -125.566666667   -124.233333333  
42.233333333   -125.633333333   -124.300000000  
42.300000000   -125.566666667   -124.300000000  
42.366666667   -125.500000000   -124.300000000  
42.433333333   -125.566666667   -124.300000000  
42.500000000   -125.566666667   -124.300000000  
42.566666667   -125.566666667   -124.300000000  
42.633333333   -125.633333333   -124.300000000  
42.700000000   -125.633333333   -124.366666667  
42.766666667   -125.633333333   -124.366666667  
42.833333333   -125.633333333   -124.433333333  
42.900000000   -125.633333333   -124.366666667  
42.966666667   -125.633333333   -124.300000000  
43.033333333   -125.633333333   -124.300000000  
43.100000000   -125.633333333   -124.300000000  
43.166666667   -125.633333333   -124.233333333  
43.233333333   -125.633333333   -124.233333333  
43.300000000   -125.700000000   -124.233333333  
43.366666667   -125.700000000   -124.166666667  
43.433333333   -125.633333333   -124.166666667  
43.500000000   -125.633333333   -123.966666667  
43.566666667   -125.633333333   -123.900000000  
43.633333333   -125.566666667   -123.833333333  
43.700000000   -125.566666667   -123.833333333  
43.766666667   -125.633333333   -123.766666667  
43.833333333   -125.633333333   -123.833333333  
43.900000000   -125.700000000   -123.833333333  
43.966666667   -125.700000000   -123.900000000  
44.033333333   -125.700000000   -123.966666667  
44.100000000   -125.700000000   -123.966666667  
44.166666667   -125.700000000   -123.966666667  
44.233333333   -125.766666667   -123.966666667  
44.300000000   -125.766666667   -123.966666667  
44.366666667   -125.766666667   -123.966666667  
44.433333333   -125.766666667   -123.966666667  
44.500000000   -125.766666667   -123.966666667  
44.566666667   -125.833333333   -123.900000000  
44.633333333   -125.833333333   -123.900000000  
44.700000000   -125.766666667   -123.900000000  
44.766666667   -125.700000000   -123.966666667  
44.833333333   -125.700000000   -123.900000000  
44.900000000   -125.700000000   -123.900000000  
44.966666667   -125.700000000   -123.900000000  
45.033333333   -125.633333333   -123.900000000  
45.100000000   -125.633333333   -123.833333333  
45.166666667   -125.633333333   -123.833333333  
45.233333333   -125.566666667   -123.833333333  
45.300000000   -125.566666667   -123.833333333  
45.366666667   -125.566666667   -123.833333333  
45.433333333   -125.500000000   -123.833333333  
45.500000000   -125.500000000   -123.833333333  
45.566666667   -125.500000000   -123.833333333  
45.633333333   -125.500000000   -123.833333333  
45.700000000   -125.566666667   -123.833333333  
45.766666667   -125.500000000   -123.833333333  
45.833333333   -125.566666667   -123.833333333  
45.900000000   -125.633333333   -123.833333333  
45.966666667   -125.633333333   -123.766666667  
46.033333333   -125.633333333   -123.766666667  
