
2   ixy
0   method
0.0666667    ds
77    nrules
45.966666667   -126.300000000   -123.766666667  
46.033333333   -126.233333333   -123.366666667  
46.100000000   -126.233333333   -123.300000000  
46.166666667   -126.300000000   -123.233333333  
46.233333333   -126.300000000   -123.300000000  
46.300000000   -126.233333333   -123.366666667  
46.366666667   -126.233333333   -123.433333333  
46.433333333   -126.300000000   -123.900000000  
46.500000000   -126.366666667   -123.833333333  
46.566666667   -126.433333333   -123.833333333  
46.633333333   -126.500000000   -123.833333333  
46.700000000   -126.566666667   -123.900000000  
46.766666667   -126.500000000   -123.966666667  
46.833333333   -126.566666667   -123.966666667  
46.900000000   -126.566666667   -123.900000000  
46.966666667   -126.500000000   -123.966666667  
47.033333333   -126.433333333   -124.033333333  
47.100000000   -126.433333333   -124.033333333  
47.166666667   -126.500000000   -124.100000000  
47.233333333   -126.500000000   -124.100000000  
47.300000000   -126.566666667   -124.166666667  
47.366666667   -126.633333333   -124.166666667  
47.433333333   -126.700000000   -124.233333333  
47.500000000   -126.766666667   -124.233333333  
47.566666667   -126.966666667   -124.233333333  
47.633333333   -127.033333333   -124.233333333  
47.700000000   -127.100000000   -124.300000000  
47.766666667   -127.166666667   -124.366666667  
47.833333333   -127.233333333   -124.433333333  
47.900000000   -127.300000000   -124.500000000  
47.966666667   -127.366666667   -124.566666667  
48.033333333   -127.433333333   -123.966666667  
48.100000000   -127.500000000   -123.966666667  
48.166666667   -127.566666667   -123.966666667  
48.233333333   -127.766666667   -123.966666667  
48.300000000   -127.833333333   -123.966666667  
48.366666667   -127.900000000   -123.966666667  
48.433333333   -127.966666667   -123.966666667  
48.500000000   -128.033333333   -123.966666667  
48.566666667   -128.100000000   -124.233333333  
48.633333333   -128.166666667   -124.433333333  
48.700000000   -128.233333333   -124.700000000  
48.766666667   -128.300000000   -124.833333333  
48.833333333   -128.366666667   -125.033333333  
48.900000000   -128.433333333   -125.033333333  
48.966666667   -128.500000000   -125.100000000  
49.033333333   -128.566666667   -125.166666667  
49.100000000   -128.633333333   -125.700000000  
49.166666667   -128.700000000   -125.766666667  
49.233333333   -128.833333333   -125.833333333  
49.300000000   -128.966666667   -125.900000000  
49.366666667   -129.366666667   -125.966666667  
49.433333333   -129.433333333   -126.033333333  
49.500000000   -129.633333333   -126.366666667  
49.566666667   -129.700000000   -126.433333333  
49.633333333   -129.833333333   -126.433333333  
49.700000000   -129.900000000   -126.500000000  
49.766666667   -129.966666667   -126.566666667  
49.833333333   -130.166666667   -126.900000000  
49.900000000   -130.233333333   -126.966666667  
49.966666667   -130.300000000   -127.100000000  
50.033333333   -130.366666667   -127.033333333  
50.100000000   -130.433333333   -127.100000000  
50.166666667   -130.500000000   -127.166666667  
50.233333333   -130.566666667   -127.633333333  
50.300000000   -130.833333333   -127.766666667  
50.366666667   -130.900000000   -127.833333333  
50.433333333   -130.966666667   -127.900000000  
50.500000000   -131.033333333   -127.966666667  
50.566666667   -131.033333333   -127.433333333  
50.633333333   -131.033333333   -127.366666667  
50.700000000   -131.033333333   -127.433333333  
50.766666667   -131.033333333   -127.900000000  
50.833333333   -131.033333333   -127.833333333  
50.900000000   -131.033333333   -127.833333333  
50.966666667   -131.033333333   -127.966666667  
51.033333333   -131.033333333   -127.966666667  
